MARCA;VEICULO;CAMBER DIANTEIRO MINIMO;CAMBER DIANTEIRO MAXIMO;CASTER MINIMO;CASTER MAXIMO;ALINHAMENTO DIANTEIRO MINIMO;ALINHAMENTO DIANTEIRO MAXIMO;CAMBER TRASEIRO MINIMO;CAMBER TRASEIRO MAXIMO;ALINHAMENTO TRASEIRO MINIMO;ALINHAMENTO TRASEIRO MAXIMO
VOLKSWAGEN BRASIL;1200-1300 MAGGIOLINO  1970 - 1986;0,17;0,83;2,3;4,3;1,56;4,69;-1;1;-1,56;
VOLKSWAGEN BRASIL;1302-1303 MAGGIOLINO  1970 - 1986;0,33;1,33;1,42;2,58;1,56;4,69;-2,01;-0,65;-1,56;
VOLKSWAGEN BRASIL;1989 - 1994;0,12;1,12;0,13;1,13;3,13;5,25;-;-;-;
VOLKSWAGEN BRASIL;AMAROK 2010 - ADIANT.;-0,5;0,1;3,5;5,5;0;0,55;;;;
VOLKSWAGEN BRASIL;BEETLE  1999 - 2005;-1,05;-0,05;7,33;8,33;-1,06;1,06;-1,62;-1,28;1,56;
VOLKSWAGEN BRASIL;BEETLE  2007 em diante;-1,05;-0,05;7,33;8,33;-1,06;1,06;-1,62;-1,28;1,56;
VOLKSWAGEN BRASIL;BEETLE CABRIOLET  2003 - 2006;-1;0;7,17;8,17;-1,06;1,06;-1,78;-1,12;1,56;
VOLKSWAGEN BRASIL;BEETLE CABRIOLET  2007 em diante;-1;0;7,17;8,17;-1,06;1,06;-1,78;-1,12;1,56;
VOLKSWAGEN BRASIL;BEETLE CONVERTIBLE  2006 em diante;-1;0;7,17;8,17;-1,06;1,06;-1,62;-1,28;1;
VOLKSWAGEN BRASIL;BEETLE SEDAN W/BASE SUSPENSION   2006 em diante;-1;0;7,17;8,17;-1,06;1,06;-1,62;-1,28;1;
VOLKSWAGEN BRASIL;BEETLE SEDAN W/SPORT SUSPENSION   2006 em diante;-1,05;-0,05;7,33;8,33;-1,06;1,06;-1,62;-1,28;1,56;
VOLKSWAGEN BRASIL;BEETLE W/BASE SUSPENSION 1998 - 2003;-1;0;7,17;8,17;-;-;-1,78;-1,12;1;
VOLKSWAGEN BRASIL;BORA LIMOS G49/58/71/76/77/80/81/82/83  1998 - 1999;-1;0;7,16;8,16;-1,06;1,06;-1,95;-0,95;1;
VOLKSWAGEN BRASIL;BORA VARIANT 36/37/38/41/44/45/46/47   1998 - 1999;-1;0;7,16;8,16;-1,06;1,06;-1,95;-0,95;0,63;
VOLKSWAGEN BRASIL;BORA VARIANT G08/09/11/27/28 1998 - 1999;-1;0;7,16;8,16;-1,06;1,06;-1,95;-0,95;0,63;
VOLKSWAGEN BRASIL;BORA VARIANT G38/41/44/45/46/47 1998 - 1999;-1;0;7,16;8,16;-1,06;1,06;-1,95;-0,95;1;
VOLKSWAGEN BRASIL;BORA VARIANT G49/58/71/76/77/80 A G83  1998 - 1999;-1;0;7,16;8,16;-1,06;1,06;-1,95;-0,95;1;
VOLKSWAGEN BRASIL;CABRIO (2UA)  2006 em diante;-1,1;-0,1;7,06;8,06;0;2,13;-2,25;-1,25;0;
VOLKSWAGEN BRASIL;CABRIO (2UC)  2006 em diante;-1,18;-0,18;7,28;8,28;0;2,13;-2,25;-1,25;0;
VOLKSWAGEN BRASIL;CABRIO 4 CYL  1995 - 2002;-0,93;-0,27;1,33;2,33;-1;1;-1,66;-1,34;1,06;
VOLKSWAGEN BRASIL;CABRIO V6  1995 - 2002;-0,99;-0,33;2,94;3,94;-1;1;-1,66;-1,34;1,06;
VOLKSWAGEN BRASIL;CABRIO.GOLF.JETTA.GTI 1.8L GAS.1.9L DIE  1993 - 1993;-0,84;-0,16;1,25;2,25;-1;1;-1,66;-1,34;1,06;
VOLKSWAGEN BRASIL;CABRIO.GOLF.JETTA.GTI 2.0L 1993 - 1993;-0,92;-0,24;1,33;2,33;-1;1;-1,66;-1,34;1,06;
VOLKSWAGEN BRASIL;CABRIO.GOLF.JETTA.GTI 2.8L 1993 - 1993;-1;-0,32;2,94;3,94;-1;1;-1,66;-1,34;1,06;
VOLKSWAGEN BRASIL;CADDY  1982 - 1991;-0,17;0,83;1,5;2,16;-3,13;-0,63;-0,17;0,17;-6,25;
VOLKSWAGEN BRASIL;CADDY KOMBI  1996 - 2004;-0,83;-0,17;0,27;1,27;-1,06;1,06;-1,17;-0,83;1;
VOLKSWAGEN BRASIL;CADDY PICK-UP  1996 - 2001;-1;0;0,58;2,08;0;2,13;1,33;1,67;1;
VOLKSWAGEN BRASIL;CADDY VAN  1996 - 2004;-0,83;-0,17;0,05;1,05;-1,06;1,06;-1,5;-0,5;1;
VOLKSWAGEN BRASIL;CADDY VAN/COMBI  2004 - 2006;-0,92;0,58;6,68;7,68;-1;3,13;-1,5;-1;1;
VOLKSWAGEN BRASIL;CADDY VAN/COMBI  2007 em diante;-0,92;0,58;6,68;7,68;-1;3,13;-1,5;-1;1;
VOLKSWAGEN BRASIL;CARRADO V6  1990 - 1995;-1,66;-1;2,92;3,92;-1;1;-1,66;-1,34;1,06;
VOLKSWAGEN BRASIL;CORRADO 16V/G60  1989 - 1990;-1;-0,34;1,42;2,42;-1,06;1,06;-2;-1,34;1,06;
VOLKSWAGEN BRASIL;CORRADO 16V/G60  1990 - 1995;-0,99;-0,33;1,42;2,42;-1;1;1,34;1,66;1,06;
VOLKSWAGEN BRASIL;CORRADO 4 CYL  1990 - 1995;-1,16;-0,16;1,06;2,06;-1;1;-1,65;-1,35;1;
VOLKSWAGEN BRASIL;CORRADO VR6  1992 - 1995;-1,66;-1;2,92;3,92;-1,06;1,06;-1,67;-1,33;1;
VOLKSWAGEN BRASIL;CROSSFOX  2005;-0,45;0,15;3,45;4,45;0;99;-1,5;-1,1;0,31;
VOLKSWAGEN BRASIL;CROSSFOX  DIR. HIDR. 2011;-1,12;-0,12;3,39;4,39;0,1;1,03;-2,2;-1,4;0,88;
VOLKSWAGEN BRASIL;EOS      -2012;-1;0;7,04;8,04;0;2,14;-1,5;-0,5;1,89;
VOLKSWAGEN BRASIL;EUROVAN GROUP 1 & 6  1997 - 2003;-0,77;-0,11;2,66;3,66;0;4,13;-1;0;0;
VOLKSWAGEN BRASIL;EUROVAN GROUP 1 1992 - 1996;-0,08;0,58;1,16;2,16;1,06;3,06;-1;0;0;
VOLKSWAGEN BRASIL;EUROVAN GROUP 2 & 7  1997 - 2003;-0,77;-0,11;12,66;13,66;0;4,13;-0,5;0,5;-1,44;
VOLKSWAGEN BRASIL;EUROVAN GROUP 2 1992 - 1996;-0,08;0,58;1,16;2,16;1,06;3,06;-0,5;0,5;-1,44;
VOLKSWAGEN BRASIL;EUROVAN GROUP 3 & 8  1997 - 2003;-0,91;-0,25;2,66;3,66;-1,06;3,06;-1;0;0;
VOLKSWAGEN BRASIL;EUROVAN GROUP 3 1992 - 1996;-0,33;0,33;1,16;2,16;-1,06;3,06;-1;0;0;
VOLKSWAGEN BRASIL;EUROVAN GROUP 4 & 5  1997 - 2003;-1,08;-0,42;2,66;3,66;-2,06;2,06;-1,16;-0,16;0,44;
VOLKSWAGEN BRASIL;EUROVAN GROUP 4 1992 - 1996;-0,17;0,49;1,33;2,33;-2,06;2,06;-1,16;-0,16;0,44;
VOLKSWAGEN BRASIL;FOX     - 2014;-1,25;-0,25;3,2;4,2;0;2,14;-2,37;1,07;1,62;
VOLKSWAGEN BRASIL;FOX (G09/15/16)  2007 em diante;-0,75;0,25;3,73;4,73;0;2,13;-1,83;-1,17;0,63;
VOLKSWAGEN BRASIL;FOX (G09/G16) DIR.HIDRAULICA 2005 - 2007;-0,75;0,25;3,73;4,73;0;2,13;-1,83;-1,17;0,63;
VOLKSWAGEN BRASIL;FOX (G17)  2007 em diante;-0,9;0,1;3,65;4,65;0;2,13;-2,33;-1,67;1,63;
VOLKSWAGEN BRASIL;FOX (G18)  2007 em diante;-1,38;-0,38;3,78;4,78;0;2,13;-2,33;-1,67;1,94;
VOLKSWAGEN BRASIL;FOX (G23/G25)  2007 em diante;-0,75;0,25;2,2;3,2;0;2,13;-1,83;-1,17;0,63;
